date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:43:30	127839/127839	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/images/insta-5.jpg	edenspot/Eden%20SPot/edenresort.skilljetke.com/images/insta-5.jpg	(from http://edenresort.skilljetke.com/index.html)
00:43:31	118336/118336	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Aug%202023%2004:19:05%20GMT	http://edenresort.skilljetke.com/images/photo_2023-08-27_07-19-05.jpg	edenspot/Eden%20SPot/edenresort.skilljetke.com/images/photo_2023-08-27_07-19-05.jpg	(from http://edenresort.skilljetke.com/index.html)
00:43:31	198656/198656	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Aug%202023%2004:18:47%20GMT	http://edenresort.skilljetke.com/images/photo_2023-08-27_07-18-47.jpg	edenspot/Eden%20SPot/edenresort.skilljetke.com/images/photo_2023-08-27_07-18-47.jpg	(from http://edenresort.skilljetke.com/index.html)
00:43:35	11421/11421	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/jquery-migrate-3.0.1.min.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/jquery-migrate-3.0.1.min.js	(from http://edenresort.skilljetke.com/index.html)
00:43:35	268038/268038	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/jquery.min.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/jquery.min.js	(from http://edenresort.skilljetke.com/index.html)
00:43:37	19032/19032	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/popper.min.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/popper.min.js	(from http://edenresort.skilljetke.com/index.html)
00:43:39	58072/58072	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/bootstrap.min.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/bootstrap.min.js	(from http://edenresort.skilljetke.com/index.html)
00:43:39	8111/8111	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/jquery.easing.1.3.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/jquery.easing.1.3.js	(from http://edenresort.skilljetke.com/index.html)
00:43:41	369599/369599	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/images/bg_4.jpg	edenspot/Eden%20SPot/edenresort.skilljetke.com/images/bg_4.jpg	(from http://edenresort.skilljetke.com/index.html)
00:43:41	8835/8835	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/jquery.waypoints.min.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/jquery.waypoints.min.js	(from http://edenresort.skilljetke.com/index.html)
00:43:41	12597/12597	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/jquery.stellar.min.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/jquery.stellar.min.js	(from http://edenresort.skilljetke.com/index.html)
00:43:42	43237/43237	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/owl.carousel.min.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/owl.carousel.min.js	(from http://edenresort.skilljetke.com/index.html)
00:43:43	20216/20216	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/jquery.magnific-popup.min.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/jquery.magnific-popup.min.js	(from http://edenresort.skilljetke.com/index.html)
00:43:44	14244/14244	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/aos.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/aos.js	(from http://edenresort.skilljetke.com/index.html)
00:43:45	1391/1391	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/jquery.animateNumber.min.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/jquery.animateNumber.min.js	(from http://edenresort.skilljetke.com/index.html)
00:43:46	46820/46820	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/bootstrap-datepicker.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/bootstrap-datepicker.js	(from http://edenresort.skilljetke.com/index.html)
00:43:47	7447/7447	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/scrollax.min.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/scrollax.min.js	(from http://edenresort.skilljetke.com/index.html)
00:43:48	1946/1946	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/google-map.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/google-map.js	(from http://edenresort.skilljetke.com/index.html)
00:43:49	8032/8032	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/js/main.js	edenspot/Eden%20SPot/edenresort.skilljetke.com/js/main.js	(from http://edenresort.skilljetke.com/index.html)
00:43:50	28196/28196	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/open-iconic/open-iconic.eot	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/open-iconic/open-iconic.eot	(from http://edenresort.skilljetke.com/css/open-iconic-bootstrap.min.css)
00:43:51	28196/28196	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/open-iconic/open-iconic.eot?	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/open-iconic/open-iconicd41d.eot	(from http://edenresort.skilljetke.com/css/open-iconic-bootstrap.min.css)
00:43:53	28028/28028	---M-Z	200	added ('OK')	font/ttf	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/open-iconic/open-iconic.ttf	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/open-iconic/open-iconic.ttf	(from http://edenresort.skilljetke.com/css/open-iconic-bootstrap.min.css)
00:43:54	14984/14984	---M--	200	added ('OK')	font/woff	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/open-iconic/open-iconic.woff	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/open-iconic/open-iconic.woff	(from http://edenresort.skilljetke.com/css/open-iconic-bootstrap.min.css)
00:43:55	20996/20996	---M-Z	200	added ('OK')	font/otf	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/open-iconic/open-iconic.otf	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/open-iconic/open-iconic.otf	(from http://edenresort.skilljetke.com/css/open-iconic-bootstrap.min.css)
00:43:55	54789/54789	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/open-iconic/open-iconic.svg	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/open-iconic/open-iconic.svg	(from http://edenresort.skilljetke.com/css/open-iconic-bootstrap.min.css)
00:43:56	708/708	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Aug%202023%2007:43:56%20GMT	http://edenresort.skilljetke.com/css/owl.video.play.png	edenspot/Eden%20SPot/edenresort.skilljetke.com/css/owl.video.play.png	(from http://edenresort.skilljetke.com/css/owl.carousel.min.css)
00:43:59	112826/112826	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/ionicons/fonts/ionicons.eot?v=4.0.0-19	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/ionicons/fonts/ionicons580c.eot	(from http://edenresort.skilljetke.com/css/ionicons.min.css)
00:43:59	50592/50592	---M--	200	added ('OK')	font/woff2	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/ionicons/fonts/ionicons580c.woff2	(from http://edenresort.skilljetke.com/css/ionicons.min.css)
00:44:00	66024/66024	---M--	200	added ('OK')	font/woff	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/ionicons/fonts/ionicons.woff?v=4.0.0-19	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/ionicons/fonts/ionicons580c.woff	(from http://edenresort.skilljetke.com/css/ionicons.min.css)
00:44:01	112648/112648	---M-Z	200	added ('OK')	font/ttf	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/ionicons/fonts/ionicons.ttf?v=4.0.0-19	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/ionicons/fonts/ionicons580c.ttf	(from http://edenresort.skilljetke.com/css/ionicons.min.css)
